,,,,,,,Totals,,,,,,,,,,,,,,,,,,,,Shooting,,,,,
288,John Stockton,1992-93,30,UTA,NBA,10.6,82,82,2863,437,899,365,712,72,187,293,367,64,173,237,987,199,21,266,224,1239,0.486,0.513,0.385,0.526,0.798,0.584
289,Ben Wallace,2002-03,28,DET,NBA,10.6,73,73,2873,210,437,209,431,1,6,85,189,293,833,1126,120,104,230,88,179,506,0.481,0.485,0.167,0.482,0.45,0.486
290,Russell Westbrook,2014-15,26,OKC,NBA,10.6,67,67,2302,627,1471,541,1183,86,288,546,654,124,364,488,574,140,14,293,184,1886,0.426,0.457,0.299,0.455,0.835,0.536
291,James Worthy,1989-90,28,LAL,NBA,10.6,80,80,2960,711,1298,696,1249,15,49,248,317,160,318,478,288,99,49,160,190,1685,0.548,0.557,0.306,0.554,0.782,0.586
292,Charles Barkley,1995-96,32,PHO,NBA,10.5,71,71,2632,580,1160,531,985,49,175,440,566,243,578,821,262,114,56,218,208,1649,0.5,0.539,0.28,0.521,0.777,0.585
293,Steve Nash,2007-08,33,PHO,NBA,10.5,81,81,2780,485,962,306,581,179,381,222,245,28,254,282,898,53,5,295,113,1371,0.504,0.527,0.47,0.597,0.906,0.641
294,Jermaine O'Neal,2002-03,24,IND,NBA,10.5,77,76,2864,610,1260,603,1239,7,21,373,510,202,594,796,155,66,178,180,277,1600,0.484,0.487,0.333,0.487,0.731,0.539
295,Robert Parish,1988-89,35,BOS,NBA,10.5,80,80,2840,596,1045,596,1045,0,0,294,409,342,654,996,175,79,116,200,209,1486,0.57,0.57,,0.57,0.719,0.607
296,Zach Randolph,2010-11,29,MEM,NBA,10.5,75,74,2724,598,1188,590,1145,8,43,300,396,326,588,914,163,63,25,151,175,1504,0.503,0.515,0.186,0.507,0.758,0.552
297,Dominique Wilkins,1992-93,33,ATL,NBA,10.5,71,70,2647,741,1584,621,1268,120,316,519,627,187,295,482,227,70,27,184,116,2121,0.468,0.49,0.38,0.506,0.828,0.57
298,Vin Baker,1997-98,26,SEA,NBA,10.4,82,82,2944,631,1164,630,1157,1,7,311,526,286,370,656,152,91,86,174,278,1574,0.542,0.545,0.143,0.543,0.591,0.564
299,Pau Gasol,2014-15,34,CHI,NBA,10.4,78,78,2681,570,1153,558,1127,12,26,294,366,220,699,919,210,25,147,158,147,1446,0.494,0.495,0.462,0.5,0.803,0.55
300,Kyrie Irving,2014-15,22,CLE,NBA,10.4,75,75,2730,578,1235,421,857,157,378,315,365,55,182,237,389,114,20,186,146,1628,0.468,0.491,0.415,0.532,0.863,0.583
301,LeBron James,2014-15,30,CLE,NBA,10.4,69,69,2493,624,1279,504,940,120,339,375,528,51,365,416,511,109,49,272,135,1743,0.488,0.536,0.354,0.535,0.71,0.577
302,Dominique Wilkins,1988-89,29,ATL,NBA,10.4,80,80,2997,814,1756,785,1651,29,105,442,524,256,297,553,211,117,52,181,138,2099,0.464,0.475,0.276,0.472,0.844,0.528
303,Kobe Bryant,2010-11,32,LAL,NBA,10.3,82,82,2779,740,1639,625,1283,115,356,483,583,83,336,419,388,99,12,243,172,2078,0.451,0.487,0.323,0.487,0.828,0.548
304,Goran Dragic,2013-14,27,PHO,NBA,10.3,76,75,2668,552,1093,430,794,122,299,316,416,69,176,245,447,104,22,213,206,1542,0.505,0.542,0.408,0.561,0.76,0.604
305,Reggie Miller,1995-96,30,IND,NBA,10.3,76,76,2621,504,1066,336,656,168,410,430,498,38,176,214,253,77,13,189,175,1606,0.473,0.512,0.41,0.552,0.863,0.625
306,Paul Pierce,2008-09,31,BOS,NBA,10.3,81,81,3035,540,1181,421,877,119,304,459,553,56,401,457,294,80,27,228,215,1658,0.457,0.48,0.391,0.508,0.83,0.582
307,Deron Williams,2009-10,25,UTA,NBA,10.3,76,76,2802,494,1053,398,794,96,259,335,418,50,253,303,798,96,16,252,208,1419,0.469,0.501,0.371,0.515,0.801,0.574
308,Carlos Boozer,2007-08,26,UTA,NBA,10.2,81,81,2827,709,1297,709,1296,0,1,290,393,197,647,844,233,100,41,210,293,1708,0.547,0.547,0,0.547,0.738,0.581
309,Marc Gasol,2014-15,30,MEM,NBA,10.2,81,81,2687,530,1072,527,1055,3,17,350,440,115,515,630,307,70,131,176,208,1413,0.494,0.5,0.176,0.496,0.795,0.558
310,Grant Hill,1997-98,25,DET,NBA,10.2,81,81,3294,615,1361,612,1340,3,21,479,647,93,530,623,551,143,53,285,196,1712,0.452,0.457,0.143,0.453,0.74,0.52
311,Chris Mullin,1989-90,26,GSW,NBA,10.2,78,78,2830,682,1272,595,1038,87,234,505,568,130,333,463,319,123,45,239,142,1956,0.536,0.573,0.372,0.57,0.889,0.643
312,Shaquille O'Neal,1997-98,25,LAL,NBA,10.2,60,57,2175,670,1147,670,1147,0,0,359,681,208,473,681,142,39,144,175,193,1699,0.584,0.584,,0.584,0.527,0.587
313,Ben Wallace,2003-04,29,DET,NBA,10.2,81,81,3050,315,748,314,740,1,8,142,290,324,682,1006,138,143,246,123,162,773,0.421,0.424,0.125,0.422,0.49,0.441
314,LaMarcus Aldridge,2015-16,30,SAS,NBA,10.1,74,74,2261,536,1045,536,1029,0,16,259,302,176,456,632,110,38,81,99,151,1331,0.513,0.521,0,0.513,0.858,0.565
315,Chauncey Billups,2008-09,32,TOT,NBA,10.1,79,79,2789,410,980,248,583,162,397,418,458,32,207,239,506,93,18,177,161,1400,0.418,0.425,0.408,0.501,0.913,0.592
316,Tim Duncan,2008-09,32,SAS,NBA,10.1,75,75,2524,558,1107,558,1105,0,2,334,483,201,599,800,264,38,126,165,173,1450,0.504,0.505,0,0.504,0.692,0.549
317,Al Horford,2010-11,24,ATL,NBA,10.1,77,77,2704,513,921,511,917,2,4,150,188,182,536,718,266,59,80,119,193,1178,0.557,0.557,0.5,0.558,0.798,0.587
318,Eddie Jones,1999-00,28,CHH,NBA,10.1,72,72,2807,478,1119,350,778,128,341,362,419,81,262,343,305,192,49,160,176,1446,0.427,0.45,0.375,0.484,0.864,0.555
319,Karl Malone,1987-88,24,UTA,NBA,10.1,82,82,3198,858,1650,858,1645,0,5,552,789,277,709,986,199,117,50,325,296,2268,0.52,0.522,0,0.52,0.7,0.568
320,Paul Pierce,2002-03,25,BOS,NBA,10.1,79,79,3096,663,1592,545,1201,118,391,604,753,106,472,578,349,139,62,288,227,2048,0.416,0.454,0.302,0.454,0.802,0.532
321,Ben Wallace,2005-06,31,DET,NBA,10.1,82,82,2890,237,465,237,461,0,4,123,296,301,622,923,158,146,181,88,164,597,0.51,0.514,0,0.51,0.416,0.501
322,Patrick Ewing,1990-91,28,NYK,NBA,10,81,81,3104,845,1645,845,1639,0,6,464,623,194,711,905,244,80,258,291,287,2154,0.514,0.516,0,0.514,0.745,0.561
323,Kevin Johnson,1991-92,25,PHO,NBA,10,78,78,2899,539,1125,529,1079,10,46,448,555,61,231,292,836,116,23,272,180,1536,0.479,0.49,0.217,0.484,0.807,0.561
324,Kevin Love,2011-12,23,MIN,NBA,10,55,55,2145,474,1059,369,777,105,282,379,460,226,508,734,111,47,28,128,152,1432,0.448,0.475,0.372,0.497,0.824,0.568
325,Mark Price,1993-94,29,CLE,NBA,10,76,73,2386,480,1005,362,708,118,297,238,268,39,189,228,589,103,11,189,93,1316,0.478,0.511,0.397,0.536,0.888,0.586
326,Derrick Coleman,1993-94,26,NJN,NBA,9.9,77,77,2778,541,1209,503,1088,38,121,439,567,262,608,870,262,68,142,208,209,1559,0.447,0.462,0.314,0.463,0.774,0.534
327,Joe Dumars,1990-91,27,DET,NBA,9.9,80,80,3046,622,1292,608,1247,14,45,371,417,62,125,187,443,89,7,189,135,1629,0.481,0.488,0.311,0.487,0.89,0.552
328,Manu Ginobili,2010-11,33,SAS,NBA,9.9,80,79,2426,441,1018,287,577,154,441,357,410,42,253,295,393,123,28,174,163,1393,0.433,0.497,0.349,0.509,0.871,0.581
329,Steve Nash,2001-02,27,DAL,NBA,9.9,82,82,2837,525,1088,369,745,156,343,260,293,50,204,254,634,53,4,229,164,1466,0.483,0.495,0.455,0.554,0.887,0.602
330,Steve Nash,2009-10,35,PHO,NBA,9.9,81,81,2660,499,985,375,694,124,291,211,225,34,234,268,892,42,12,295,108,1333,0.507,0.54,0.426,0.57,0.938,0.615
331,Shaquille O'Neal,2003-04,31,LAL,NBA,9.9,67,67,2464,554,948,554,948,0,0,331,676,246,523,769,196,34,166,195,225,1439,0.584,0.584,,0.584,0.49,0.578
332,Alex English,1985-86,32,DEN,NBA,9.8,81,81,3024,951,1888,950,1883,1,5,511,593,192,213,405,320,73,29,249,235,2414,0.504,0.505,0.2,0.504,0.862,0.562
333,Patrick Ewing,1996-97,34,NYK,NBA,9.8,78,78,2887,655,1342,653,1333,2,9,439,582,175,659,834,156,69,189,269,250,1751,0.488,0.49,0.222,0.489,0.754,0.548
334,Mark Price,1992-93,28,CLE,NBA,9.8,75,74,2380,477,986,355,693,122,293,289,305,37,164,201,602,89,11,196,105,1365,0.484,0.512,0.416,0.546,0.948,0.609
335,Dominique Wilkins,1987-88,28,ATL,NBA,9.8,78,76,2948,909,1957,871,1828,38,129,541,655,211,291,502,224,103,47,218,162,2397,0.464,0.476,0.295,0.474,0.826,0.534
336,Dwight Howard,2006-07,21,ORL,NBA,9.7,82,82,3023,526,873,525,871,1,2,390,666,283,725,1008,158,70,156,317,245,1443,0.603,0.603,0.5,0.603,0.586,0.619
337,Fat Lever,1986-87,26,DEN,NBA,9.7,82,82,3054,643,1370,621,1278,22,92,244,312,216,513,729,654,201,34,167,219,1552,0.469,0.486,0.239,0.477,0.782,0.515
338,Hakeem Olajuwon,1995-96,33,HOU,NBA,9.7,72,72,2797,768,1494,765,1480,3,14,397,548,176,608,784,257,113,207,247,242,1936,0.514,0.517,0.214,0.515,0.724,0.558
339,Michael Redd,2003-04,24,MIL,NBA,9.7,82,82,3021,633,1439,506,1076,127,363,383,441,118,289,407,185,81,6,116,152,1776,0.44,0.47,0.35,0.484,0.868,0.544
340,Chris Bosh,2006-07,22,TOR,NBA,9.6,69,69,2658,543,1094,531,1059,12,35,463,590,186,555,741,175,39,90,179,163,1561,0.496,0.501,0.343,0.502,0.785,0.577
341,Tim Duncan,2014-15,38,SAS,NBA,9.6,77,77,2227,419,819,417,812,2,7,230,311,170,534,704,230,63,151,131,165,1070,0.512,0.514,0.286,0.513,0.74,0.56
342,Larry Johnson,1992-93,23,CHH,NBA,9.6,82,82,3323,728,1385,710,1314,18,71,336,438,281,583,864,353,53,27,227,187,1810,0.526,0.54,0.254,0.532,0.767,0.574
343,Jason Kidd,2000-01,27,PHO,NBA,9.6,77,76,3065,451,1097,382,865,69,232,328,403,91,403,494,753,166,23,286,171,1299,0.411,0.442,0.297,0.443,0.814,0.51
344,Damian Lillard,2013-14,23,POR,NBA,9.6,82,82,2937,553,1304,335,750,218,554,371,426,35,253,288,457,64,22,193,197,1695,0.424,0.447,0.394,0.508,0.871,0.568
345,Karl Malone,1998-99,35,UTA,NBA,9.6,49,49,1832,393,797,393,796,0,1,378,480,107,356,463,201,62,28,162,134,1164,0.493,0.494,0,0.493,0.788,0.577
346,Stephon Marbury,2002-03,25,PHO,NBA,9.6,81,81,3240,671,1530,582,1234,89,296,375,467,53,210,263,654,108,20,263,200,1806,0.439,0.472,0.301,0.468,0.803,0.52
347,Dikembe Mutombo,2001-02,35,PHI,NBA,9.6,80,80,2907,321,641,321,641,0,0,278,364,254,609,863,83,29,190,156,242,920,0.501,0.501,,0.501,0.764,0.574
348,Dwyane Wade,2012-13,31,MIA,NBA,9.6,69,69,2391,569,1093,552,1027,17,66,308,425,86,258,344,352,128,56,194,140,1463,0.521,0.537,0.258,0.528,0.725,0.571
349,Carmelo Anthony,2012-13,28,NYK,NBA,9.5,67,67,2482,669,1489,512,1075,157,414,425,512,134,326,460,171,52,32,175,205,1920,0.449,0.476,0.379,0.502,0.83,0.56
350,Larry Bird,1989-90,33,BOS,NBA,9.5,75,75,2944,718,1517,653,1322,65,195,319,343,90,622,712,562,106,61,243,173,1820,0.473,0.494,0.333,0.495,0.93,0.546
351,Tyson Chandler,2011-12,29,NYK,NBA,9.5,62,62,2061,241,355,241,353,0,2,217,315,212,400,612,56,56,89,102,186,699,0.679,0.683,0,0.679,0.689,0.708
352,Derrick Coleman,1992-93,25,NJN,NBA,9.5,76,73,2759,564,1226,541,1127,23,99,421,521,247,605,852,276,92,126,243,210,1572,0.46,0.48,0.232,0.469,0.808,0.54
353,Hakeem Olajuwon,1985-86,23,HOU,NBA,9.5,68,68,2467,625,1188,625,1188,0,0,347,538,333,448,781,137,134,231,195,271,1597,0.526,0.526,,0.526,0.645,0.56
354,Carmelo Anthony,2005-06,21,DEN,NBA,9.4,80,80,2941,756,1572,719,1420,37,152,573,709,122,272,394,216,88,42,218,229,2122,0.481,0.506,0.243,0.493,0.808,0.563
355,Kobe Bryant,2009-10,31,LAL,NBA,9.4,73,73,2835,716,1569,617,1268,99,301,439,541,78,313,391,365,113,20,233,187,1970,0.456,0.487,0.329,0.488,0.811,0.545
356,Moses Malone,1986-87,31,WSB,NBA,9.4,73,70,2488,595,1311,595,1300,0,11,570,692,340,484,824,120,59,92,202,139,1760,0.454,0.458,0,0.454,0.824,0.545
357,Russell Westbrook,2010-11,22,OKC,NBA,9.4,82,82,2847,614,1390,580,1287,34,103,531,631,121,258,379,670,155,30,316,207,1793,0.442,0.451,0.33,0.454,0.842,0.538
358,Tony Parker,2012-13,30,SAS,NBA,9.3,66,66,2174,519,995,495,927,24,68,279,330,18,180,198,499,54,6,170,92,1341,0.522,0.534,0.353,0.534,0.845,0.588
359,Gary Payton,1993-94,25,SEA,NBA,9.3,82,82,2881,584,1159,569,1105,15,54,166,279,105,164,269,494,188,19,173,227,1349,0.504,0.515,0.278,0.51,0.595,0.526
360,Glen Rice,1997-98,30,CHH,NBA,9.3,82,82,3295,634,1386,504,1086,130,300,428,504,89,264,353,182,77,22,182,200,1826,0.457,0.464,0.433,0.504,0.849,0.568
361,Mitch Richmond,1995-96,30,SAC,NBA,9.3,81,81,2946,611,1368,386,853,225,515,425,491,54,215,269,255,125,19,220,233,1872,0.447,0.453,0.437,0.529,0.866,0.591
362,Tom Chambers,1988-89,29,PHO,NBA,9.2,81,81,3002,774,1643,746,1557,28,86,509,598,143,541,684,231,87,55,231,271,2085,0.471,0.479,0.326,0.48,0.851,0.547
363,Paul George,2015-16,25,IND,NBA,9.2,81,81,2819,605,1449,395,883,210,566,454,528,79,484,563,329,152,29,265,230,1874,0.418,0.447,0.371,0.49,0.86,0.557
364,Blake Griffin,2011-12,22,LAC,NBA,9.2,66,66,2392,561,1022,559,1006,2,16,244,468,218,499,717,210,54,48,150,216,1368,0.549,0.556,0.125,0.55,0.521,0.557
365,Tim Hardaway,1991-92,25,GSW,NBA,9.2,81,81,3332,734,1592,607,1216,127,376,298,389,81,229,310,807,164,13,267,208,1893,0.461,0.499,0.338,0.501,0.766,0.537
366,Allen Iverson,2002-03,27,PHI,NBA,9.2,82,82,3485,804,1940,720,1637,84,303,570,736,68,276,344,454,225,13,286,149,2262,0.414,0.44,0.277,0.436,0.774,0.5
367,Damian Lillard,2015-16,25,POR,NBA,9.2,75,75,2676,618,1474,389,864,229,610,414,464,45,257,302,512,65,28,242,165,1879,0.419,0.45,0.375,0.497,0.892,0.56
368,Joe Dumars,1992-93,29,DET,NBA,9.1,77,77,3094,677,1454,565,1155,112,299,343,397,63,85,148,308,78,7,138,141,1809,0.466,0.489,0.375,0.504,0.864,0.555
369,David Lee,2012-13,29,GSW,NBA,9.1,79,79,2907,602,1160,602,1156,0,4,255,320,218,668,886,279,67,22,207,246,1459,0.519,0.521,0,0.519,0.797,0.561
370,Hakeem Olajuwon,1996-97,34,HOU,NBA,9.1,78,78,2852,727,1426,722,1410,5,16,351,446,173,543,716,236,117,173,281,249,1810,0.51,0.512,0.313,0.512,0.787,0.558
371,Mark Price,1991-92,27,CLE,NBA,9.1,72,72,2138,438,897,337,636,101,261,270,285,38,135,173,535,94,12,159,113,1247,0.488,0.53,0.387,0.545,0.947,0.61
372,Brandon Roy,2009-10,25,POR,NBA,9.1,65,65,2419,491,1038,418,817,73,221,343,440,73,212,285,305,61,16,129,136,1398,0.473,0.512,0.33,0.508,0.78,0.568
373,DeMar DeRozan,2016-17,27,TOR,NBA,9,74,74,2620,721,1545,688,1421,33,124,545,647,70,316,386,290,78,13,180,134,2020,0.467,0.484,0.266,0.477,0.842,0.552
374,Paul George,2012-13,22,IND,NBA,9,79,79,2972,493,1176,323,707,170,469,221,274,88,515,603,327,143,51,233,227,1377,0.419,0.457,0.362,0.491,0.807,0.531
375,Blake Griffin,2014-15,25,LAC,NBA,9,67,67,2356,574,1144,564,1119,10,25,311,427,126,382,508,354,63,35,152,196,1469,0.502,0.504,0.4,0.506,0.728,0.551
376,Allen Iverson,2004-05,29,PHI,NBA,9,75,75,3174,771,1818,667,1480,104,338,656,786,51,248,299,596,180,9,344,140,2302,0.424,0.451,0.308,0.453,0.835,0.532
377,Jamal Mashburn,2002-03,30,NOH,NBA,9,82,81,3321,670,1586,551,1280,119,306,313,369,66,432,498,462,83,17,230,196,1772,0.422,0.43,0.389,0.46,0.848,0.507
378,Jermaine O'Neal,2003-04,25,IND,NBA,9,78,78,2788,608,1400,606,1382,2,18,348,460,193,585,778,164,59,199,181,248,1566,0.434,0.438,0.111,0.435,0.757,0.489
379,Shaquille O'Neal,1998-99,26,LAL,NBA,9,49,49,1705,510,885,510,884,0,1,269,498,187,338,525,114,36,82,122,155,1289,0.576,0.577,0,0.576,0.54,0.584
380,James Worthy,1990-91,29,LAL,NBA,9,78,74,3008,716,1455,690,1365,26,90,212,266,107,249,356,275,104,35,127,117,1670,0.492,0.505,0.289,0.501,0.797,0.531
381,Jason Kidd,2001-02,28,NJN,NBA,8.9,82,82,3056,445,1138,328,774,117,364,201,247,130,465,595,808,175,20,286,136,1208,0.391,0.424,0.321,0.442,0.814,0.484
382,Charles Barkley,1993-94,30,PHO,NBA,8.8,65,65,2298,518,1046,470,868,48,178,318,452,198,529,727,296,101,37,206,160,1402,0.495,0.541,0.27,0.518,0.704,0.563
383,Isiah Thomas,1985-86,24,DET,NBA,8.8,77,77,2790,609,1248,583,1164,26,84,365,462,83,194,277,830,171,20,289,245,1609,0.488,0.501,0.31,0.498,0.79,0.554
384,Klay Thompson,2014-15,24,GSW,NBA,8.8,77,77,2455,602,1299,363,754,239,545,225,256,27,220,247,222,87,60,149,122,1668,0.463,0.481,0.439,0.555,0.879,0.591
385,Dwyane Wade,2006-07,25,MIA,NBA,8.8,51,50,1931,472,962,451,883,21,79,432,535,51,188,239,384,107,62,216,117,1397,0.491,0.511,0.266,0.502,0.807,0.583
386,John Wall,2016-17,26,WAS,NBA,8.8,78,78,2836,647,1435,558,1163,89,272,422,527,59,267,326,831,157,49,322,151,1805,0.451,0.48,0.327,0.482,0.801,0.541
387,Kevin Willis,1991-92,29,ATL,NBA,8.8,81,80,2962,591,1224,585,1187,6,37,292,363,418,840,1258,173,72,54,197,223,1480,0.483,0.493,0.162,0.485,0.804,0.535
388,Joe Dumars,1989-90,26,DET,NBA,8.7,75,71,2578,508,1058,486,1003,22,55,297,330,60,152,212,368,63,2,145,129,1335,0.48,0.485,0.4,0.491,0.9,0.555
389,Tim Duncan,1998-99,22,SAS,NBA,8.7,50,50,1963,418,845,417,838,1,7,247,358,159,412,571,121,45,126,146,147,1084,0.495,0.498,0.143,0.495,0.69,0.541
390,Kevin Johnson,1993-94,27,PHO,NBA,8.7,67,67,2449,477,980,471,953,6,27,380,464,55,112,167,637,125,10,235,127,1340,0.487,0.494,0.222,0.49,0.819,0.566
391,LaMarcus Aldridge,2014-15,29,POR,NBA,8.6,71,71,2512,659,1415,622,1310,37,105,306,362,177,549,726,124,48,68,122,125,1661,0.466,0.475,0.352,0.479,0.845,0.528
392,Tracy McGrady,2006-07,27,HOU,NBA,8.6,71,71,2539,638,1480,512,1099,126,381,345,488,56,322,378,458,92,36,213,136,1747,0.431,0.466,0.331,0.474,0.707,0.515
393,Yao Ming,2005-06,25,HOU,NBA,8.6,57,57,1949,467,900,467,899,0,1,337,395,148,433,581,85,30,94,147,195,1271,0.519,0.519,0,0.519,0.853,0.592
394,Hakeem Olajuwon,1990-91,28,HOU,NBA,8.6,56,50,2062,487,959,487,955,0,4,213,277,219,551,770,131,121,221,174,221,1187,0.508,0.51,0,0.508,0.769,0.549
395,Tony Parker,2008-09,26,SAS,NBA,8.6,72,71,2456,639,1263,620,1198,19,65,284,363,27,196,223,496,67,4,186,110,1581,0.506,0.518,0.292,0.513,0.782,0.556
396,Scottie Pippen,1992-93,27,CHI,NBA,8.6,81,81,3123,628,1327,606,1234,22,93,232,350,203,418,621,507,173,73,246,219,1510,0.473,0.491,0.237,0.482,0.663,0.51
397,Alvin Robertson,1985-86,23,SAS,NBA,8.6,82,82,2878,562,1093,554,1064,8,29,260,327,184,332,516,448,301,40,256,296,1392,0.514,0.521,0.276,0.518,0.795,0.563
398,Chris Webber,2001-02,28,SAC,NBA,8.6,54,54,2071,532,1075,527,1056,5,19,253,338,150,396,546,258,90,76,158,181,1322,0.495,0.499,0.263,0.497,0.749,0.54
399,Jason Kidd,1999-00,26,PHO,NBA,8.5,67,67,2616,350,855,294,689,56,166,203,245,96,387,483,678,134,28,226,148,959,0.409,0.427,0.337,0.442,0.829,0.498
400,Ben Wallace,2004-05,30,DET,NBA,8.5,74,74,2671,295,651,294,642,1,9,130,304,292,610,902,123,106,176,82,159,721,0.453,0.458,0.111,0.454,0.428,0.459
401,Joe Johnson,2009-10,28,ATL,NBA,8.4,76,76,2886,635,1386,506,1036,129,350,220,269,74,279,353,369,82,5,145,145,1619,0.458,0.488,0.369,0.505,0.818,0.538
402,Tracy McGrady,2003-04,24,ORL,NBA,8.4,67,67,2675,653,1566,479,1053,174,513,398,500,95,307,402,370,93,42,179,129,1878,0.417,0.455,0.339,0.473,0.796,0.526
403,Drazen Petrovic,1992-93,28,NJN,NBA,8.4,70,67,2660,587,1134,512,967,75,167,315,362,42,148,190,247,94,13,204,237,1564,0.518,0.529,0.449,0.551,0.87,0.605
404,Dominique Wilkins,1993-94,34,TOT,NBA,8.4,74,74,2635,698,1588,613,1293,85,295,442,522,182,299,481,169,92,30,172,126,1923,0.44,0.474,0.288,0.466,0.847,0.529
405,Vin Baker,1996-97,25,MIL,NBA,8.3,78,78,3159,632,1251,617,1197,15,54,358,521,267,537,804,211,81,112,245,275,1637,0.505,0.515,0.278,0.511,0.687,0.553
406,Tim Duncan,2012-13,36,SAS,NBA,8.3,69,69,2078,490,976,488,969,2,7,245,300,124,562,686,184,50,183,147,117,1227,0.502,0.504,0.286,0.503,0.817,0.554
407,Yao Ming,2007-08,27,HOU,NBA,8.3,55,55,2044,432,852,432,850,0,2,345,406,172,422,594,129,25,111,183,171,1209,0.507,0.508,0,0.507,0.85,0.587
408,Draymond Green,2016-17,26,GSW,NBA,8.2,76,76,2471,272,650,191,387,81,263,151,213,98,501,599,533,154,106,184,217,776,0.418,0.494,0.308,0.481,0.709,0.522
409,Kobe Bryant,2004-05,26,LAL,NBA,8.1,66,66,2689,573,1324,442,937,131,387,542,664,95,297,392,398,86,53,270,174,1819,0.433,0.472,0.339,0.482,0.816,0.563
410,Patrick Ewing,1987-88,25,NYK,NBA,8.1,82,82,2546,656,1183,656,1180,0,3,341,476,245,431,676,125,104,245,287,332,1653,0.555,0.556,0,0.555,0.716,0.594
411,Anfernee Hardaway,1996-97,25,ORL,NBA,8.1,59,59,2221,421,941,336,674,85,267,283,345,82,181,263,332,93,35,145,123,1210,0.447,0.499,0.318,0.493,0.82,0.554
412,Jason Kidd,1998-99,25,PHO,NBA,8.1,50,50,2060,310,698,265,575,45,123,181,239,87,252,339,539,114,19,150,108,846,0.444,0.461,0.366,0.476,0.757,0.527
413,Dikembe Mutombo,2000-01,34,TOT,NBA,8.1,75,75,2591,269,556,269,556,0,0,211,291,307,708,1015,76,29,203,144,204,749,0.484,0.484,,0.484,0.725,0.547
414,Rod Strickland,1997-98,31,WAS,NBA,8.1,76,76,3020,490,1130,478,1082,12,48,357,492,112,293,405,801,126,25,266,182,1349,0.434,0.442,0.25,0.439,0.726,0.501
415,Andrew Bynum,2011-12,24,LAL,NBA,8,60,60,2112,444,796,443,791,1,5,234,338,192,517,709,85,27,116,152,104,1123,0.558,0.56,0.2,0.558,0.692,0.594
416,Dwight Howard,2013-14,28,HOU,NBA,8,71,71,2396,473,800,471,793,2,7,349,638,231,635,866,131,60,128,229,240,1297,0.591,0.594,0.286,0.593,0.547,0.6
417,Shaquille O'Neal,1996-97,24,LAL,NBA,8,51,51,1941,552,991,552,987,0,4,232,479,195,445,640,159,46,147,146,180,1336,0.557,0.559,0,0.557,0.484,0.556
418,Mitch Richmond,1994-95,29,SAC,NBA,8,82,82,3172,668,1497,512,1073,156,424,375,445,69,288,357,311,91,29,234,227,1867,0.446,0.477,0.368,0.498,0.843,0.551
419,Latrell Sprewell,1993-94,23,GSW,NBA,8,82,82,3533,613,1417,472,1026,141,391,353,456,80,321,401,385,180,76,226,158,1720,0.433,0.46,0.361,0.482,0.774,0.532
420,Amar'e Stoudemire,2010-11,28,NYK,NBA,8,78,78,2870,744,1482,734,1459,10,23,473,597,198,438,636,202,71,150,250,274,1971,0.502,0.503,0.435,0.505,0.792,0.565
421,Klay Thompson,2015-16,25,GSW,NBA,8,80,80,2666,651,1386,375,736,276,650,193,221,35,271,306,166,60,49,138,152,1771,0.47,0.51,0.425,0.569,0.873,0.597
422,Metta World Peace,2003-04,24,IND,NBA,8,73,71,2714,468,1112,393,870,75,242,322,439,100,285,385,272,152,50,202,194,1333,0.421,0.452,0.31,0.455,0.733,0.511
423,Carmelo Anthony,2009-10,25,DEN,NBA,7.9,69,69,2634,688,1502,629,1315,59,187,508,612,152,302,454,222,88,30,209,225,1943,0.458,0.478,0.316,0.478,0.83,0.548
424,Alonzo Mourning,1998-99,28,MIA,NBA,7.9,46,46,1753,324,634,324,632,0,2,276,423,166,341,507,74,34,180,139,161,924,0.511,0.513,0,0.511,0.652,0.563
425,Mitch Richmond,1997-98,32,SAC,NBA,7.9,70,70,2569,543,1220,413,886,130,334,407,471,50,179,229,279,88,15,181,154,1623,0.445,0.466,0.389,0.498,0.864,0.569
426,Russell Westbrook,2011-12,23,OKC,NBA,7.9,66,66,2331,578,1266,516,1070,62,196,340,413,96,205,301,362,112,21,239,147,1558,0.457,0.482,0.316,0.481,0.823,0.538
427,Al Jefferson,2013-14,29,CHA,NBA,7.8,73,73,2553,700,1376,697,1361,3,15,191,277,156,636,792,155,67,79,124,176,1594,0.509,0.512,0.2,0.51,0.69,0.532
428,Shaquille O'Neal,2008-09,36,PHO,NBA,7.8,75,75,2252,512,841,512,840,0,1,309,519,187,446,633,126,49,108,168,253,1333,0.609,0.61,0,0.609,0.595,0.623
429,Terry Cummings,1988-89,27,MIL,NBA,7.7,80,78,2824,730,1563,723,1548,7,15,362,460,281,369,650,198,106,72,201,265,1829,0.467,0.467,0.467,0.469,0.787,0.518
430,Dwight Howard,2011-12,26,ORL,NBA,7.7,54,54,2070,416,726,416,719,0,7,281,572,200,585,785,104,81,116,175,159,1113,0.573,0.579,0,0.573,0.491,0.569
431,Dwyane Wade,2011-12,30,MIA,NBA,7.7,49,49,1625,416,837,401,781,15,56,235,297,73,164,237,225,82,63,129,110,1082,0.497,0.513,0.268,0.506,0.791,0.559
432,Dwight Howard,2012-13,27,LAL,NBA,7.6,76,76,2722,470,813,469,807,1,6,355,721,251,694,945,108,84,186,225,291,1296,0.578,0.581,0.167,0.579,0.492,0.573
